sentiment,final_tweet
1,masyarakat lampung mendukung kebijakan blt bbm
1,penyeluran blt bbm memudahkan masyarakat membutuhkan masyarakat lampung mendukung blt
1,ayoo gaess masyarakat lampung dukung kebijakan pemerintah perihal blt bbm
1,masyarakat lampung mendukung penuh kebijakan pemerintah blt bbm
0,lampung apresiasi kebijakan pemerintah blt bbm
1,masyarakat lampung mendukung kebijakan blt bbm
1,penyeluran blt bbm memudahkan masyarakat membutuhkan masyarakat lampung mendukung blt
1,ayoo gaess masyarakat lampung dukung kebijakan pemerintah perihal blt bbm
1,masyarakat lampung mendukung penuh kebijakan pemerintah blt bbm
0,lampung apresiasi kebijakan pemerintah blt bbm
1,masyarakat lampung mendukung kebijakan blt bbm
1,penyeluran blt bbm memudahkan masyarakat membutuhkan masyarakat lampung mendukung blt
1,ayoo gaess masyarakat lampung dukung kebijakan pemerintah perihal blt bbm
1,masyarakat lampung mendukung penuh kebijakan pemerintah blt bbm
0,lampung apresiasi kebijakan pemerintah blt bbm
1,masyarakat lampung mendukung kebijakan blt bbm
0,mahasiswa wakil rakyat jawa timur dukung penyaluran bansos blt
1,penyeluran blt bbm memudahkan masyarakat membutuhkan masyarakat lampung mendukung blt
1,ayoo gaess masyarakat lampung dukung kebijakan pemerintah perihal blt bbm
1,masyarakat lampung mendukung penuh kebijakan pemerintah blt bbm
0,lampung apresiasi kebijakan pemerintah blt bbm
1,masyarakat lampung mendukung kebijakan blt bbm
-1,eri cahyadi atasi dampak inflasi gelontorkan rp blt bbm kepengemudi
1,penyeluran blt bbm memudahkan masyarakat membutuhkan masyarakat lampung mendukung blt
0,presiden serahkan bsu blt bbm kota bandung oktober
1,blt membantu masyarakat jawa timur
0,mahasiswa wakil rakyat jawa timur dukung penyaluran bansos blt
1,manfaatkan penggunaan blt bbm bijak
-1,penyesuaian harga bbm berdampak signifikan inflasi pengendalian inflasi
0,blt emang duit nenek lu
0,trimakasih blt jokowi masyarakat jawa timur terbantu
0,daftar bansos online cairkan blt balita hamil tahap
0,daftar bansos online cairkan blt balita hamil tahap
1,mi ayam blt enak
0,blt cuan lg
0,blt bbm dongkrak daya beli masyarakat kalimantan
1,manfaatkan penggunaan blt bbm bijak kalimantan
1,ayo bijak manfaatkan blt bbm kalimantan
0,blt bbm dongkrak daya beli masyarakat kalimantan
1,blt bbm dongkrak daya beli masyarakat kepulauan riau dukung blt bbm
1,manfaatkan penggunaan blt bbm bijak kalimantan
1,ayo bijak manfaatkan blt bbm kalimantan
1,manfaatkan blt bbm bijak kepulauan riau dukung blt bbm
-1,pemerintah berusaha mengendalikan inflasi akibat penyesuaian harga bbm harga barangbarang pasar mengalam
1,bijak manfaatkan blt bbm kepulauan riau dukung blt bbm
1,kabar gembira blt bbm tahap cair
-1,pasca penyesuaian harga bbm pemerintah memiliki strategi jitu memburuk inflasi parah
1,kabar gembira blt bbm tahap cair
1,kabar gembira blt bbm tahap cair
1,kabar gembira blt bbm tahap cair
1,kabar gembira blt bbm tahap cair
0,pemerintah blt bbm warga jambi
1,bantalan sosial subsidi blt bbm menjaga tingkat laju inflasi laju inflasi
-1,penyesuaian harga bbm berdampak pd inflasi langkah pengendalian inflasi pasca penyesuaian harga bbm dian
1,pemeritah siapkan bantuan blt bbm subsidi upah pasca kenaikan harga bbm jambi
0,penyaluran blt bbm apresiasi masyarakat
0,penyaluran blt bbm apresiasi masyarakat
0,penyaluran blt bbm apresiasi masyarakat
0,penyaluran blt bbm apresiasi masyarakat
0,blt bbm dongkrak daya beli masyarakat kalimantan
1,manfaatkan penggunaan blt bbm bijak kalimantan
1,ayo bijak manfaatkan blt bbm kalimantan
1,upaya pemerintah blt bbm bantalan sosial masyarakat
1,sumsel keluarga penerima manfaat kpm blt bbm
1,masyarakat jawa timur berterima kasih presiden jokowi penyalur
1,blt bbm dukung pertumbuhan ekonomi jawa timur
1,blt membantu masyarakat jawa timur
1,dukung kawal penyaluran blt dki jakarta
1,blt hak rakyat indonesia terima kasih presiden pemerintah
1,blt bbm sanagat bermanfaat dki jakarta
1,blt hak rakyat indonesia terima kasih presiden pemerintah
1,blt hak rakyat indonesia terima kasih presiden pemerintah
0,penyaluran blt bbm persen dki jakarta
1,blt hak rakyat indonesia terima kasih presiden pemerintah
0,masyarakat apresiasi blt rakyat dki jakarta
0,hore blt cair dki jakarta
1,dukung pemerintah percepat penyaluran blt dki jakarta
1,mantap blt cair semoga bermanfaat dki jakarta
1,blt bbm sanagat bermanfaat dki jakarta
0,penyaluran blt bbm persen dki jakarta
1,dukung kawal penyaluran blt dki jakarta
1,asyik blt cair ojol oktober dki jakarta
0,masyarakat apresiasi blt rakyat dki jakarta
1,masyarakat jawa timur sambut blt bbm pemerintah
0,pembagian blt mudah sasaran dki jakarta
1,dukung blt sasaran dki jakarta
1,dukung blt membantu masyrakat jawa timur
1,blt membantu masyarakat jawa timur
1,blt bbm dukung pertumbuhan ekonomi jawa timur
-1,blt cair sasaran rakyat khawatir
1,terimakasih blt bbm jawa timur bahagia
1,ardi masyarakat jawa timur apresiasi dukung komitmen pemerintah pastikan dana blt ma
1,terimakasih blt bbm jawa timur bahagia
1,blt bbm bantuan sasaran
0,bersyukur blt bbm blt
0,pemerintah gencar menyalurkan blt bbm masyarakat
1,masyarakat jawa timur mendukung blt bbm sasaran
1,blt tukang becakojol cair komunitas ojol jawa timur dukung penyaluran blt
0,blt bbm meringankan beban masyarakat
1,blt efektif sasaran
1,ayo bijak manfaatkan blt bbm sumatera utara
1,masyarakat jawa timur sambut blt bbm pemerintah
1,dukung penyaluran blt
1,manfaatkan penggunaan blt bbm bijak sumatera utara
1,dukung blt membantu masyrakat jawa timur
1,mantap semoga cepat selesai sasaran daerah istimewa yogyakarta blt bbm yogyakarta
1,blt bbm bermanfaat masyarakat daerah istimewa yogyakarta blt bbm yogyakarta
1,masyarakat memahami keputusan sulit diambil pemerintah daerah istimewa yogyakarta blt bbm yogyaka
1,jokowi salurkan blt bbm jt penerima daerah istimewa yogyakarta blt bbm yogyakarta
0,blt bbm bukti kehadiran negara bantu masyarakat rentan daerah istimewa yogyakarta blt bbm yogyakarta
1,harga bbm disesuaikan pemerintah siapkan bantuan blt bsu daerah istimewa yogyakarta blt bbm yogyakarta
1,pemerintah salutkan blt bbm tahap daerah istimewa yogyakarta blt bbm yogyakarta
1,ardi terimakasih jokowi blt bbm membantu masyarakat jawa timur berterima kasih
1,nusa tenggara timur manfaat blt bbm rasakan masyarakat
0,blt bbm dongkrak daya beli masyarakat sumatera utara
0,mantap program blt dirasakan masyarakat jawa timur
1,masyarakat jawa timur mendukung blt bbm sasaran
1,ardi pemerintah berhasil salurkan blt bbm merata jawa timur
1,ardi blt bbm tangan masyarakat jawa timur bawa kebahagiaan mantap dukung
0,ardi warga jawa timur terbantu blt
1,ardi terimakasih blt bbm jawa timur bahagia
1,pemerintah berhasil salurkan blt bbm merata jawa timur dirasakan dam
1,dukung blt sasaran dki jakarta
0,pembagian blt mudah sasaran dki jakarta
0,masyarakat apresiasi blt rakyat dki jakarta
1,cok blt bbm dukung pertumbuhan ekonomi jawa timur
1,ardi terima kasih warga jawa timur senang blt bbm diberika
1,asyik blt cair ojol oktober dki jakarta
1,dukung kawal penyaluran blt dki jakarta
1,ardi pemerintah berhasil salurkan blt bbm merata jawa timur dirasakan dampak
0,penyaluran blt bbm persen dki jakarta
1,blt bbm sanagat bermanfaat dki jakarta
1,mantap blt cair semoga bermanfaat dki jakarta
1,dukung pemerintah percepat penyaluran blt dki jakarta
0,hore blt cair dki jakarta
0,warga jawa timur terbantu blt
0,masyarakat apresiasi blt rakyat dki jakarta
1,blt bbm dukung pertumbuhan ekonomi jawa timur
1,dukung blt membantu masyrakat jawa timur
0,warga jawa timur terbantu blt
0,penyaluran blt bbm persen dki jakarta
1,blt bbm sanagat bermanfaat dki jakarta
1,dukung kawal penyaluran blt dki jakarta
0,pembagian blt mudah sasaran dki jakarta
1,manfaatkan penggunaan blt bbm bijak yaa
1,ayo bijak manfaatkan blt bbm
0,warga jawa timur terbantu blt
0,blt bantu kegiatan perekonomian masyarakat
0,manfaatkan penggunaan blt bbm dki jakarta
1,blt membantu dki jakarta
1,ardi jawa timur dukung blt sasaran
1,bijak blt dki jakarta
0,blt bbm dongkrak daya beli dki jakarta
1,ayo bijak manfaarkan blt bbm dki jakarta
0,blt bbm donkrak daya beli masyarakat
1,pemerintah berhasil salurkan blt bbm merata jawa timur dirasakan dampak positif
0,mantap program blt dirasakan masyarakat jawa timur
0,pemerintah pastikan blt sasaran rakyat jawa timur merasakannya
1,manfaatkan penggunaan blt bbm bijak yaa
1,ayo bijak manfaatkan blt bbm
1,terima kasih warga jawa timur senang blt bbm mantap
0,blt bantu kegiatan perekonomian masyarakat
0,pemerintah pastikan blt sasaran rakyat jawa timur merasakannya
1,blt tukang becakojol cair komunitas ojol jawa timur dukung penyaluran blt
1,bantuan produktif usaha mikro bantuan sosial tunai blt dana desa program kartu pra kerja ditingkatk
1,blt bbm manfaat nyaa
1,masyarakat nusa tenggara timur mendukung program blt bbm membantu ekonomi masyarakat
0,blt bbm dongkrak daya beli masyarakat
1,bijak manfaatkan blt bbm
1,pembagian blt bbm bsu mudah cepat sasaran apel pagi
1,bantuan langsung tunai blt bbm menjaga daya beli masyarakat sebagi antasipasi dampak
1,manfaat penggunaan blt bbm bijak
0,robin demo dikit demo nganggur be
0,masyarakat apresiasi blt bbm pemerintah
1,dukung pemerintah menyalurkan blt tukang becak ojol
1,dukung penyaluran blt bbm masyarakat
0,blt bbm dongkrak daya beli masyarakat apel pagi
0,masyarakat apresiasi blt bbm pemerintah
1,manfaat penggunaan blt bbm bijak papua barat mendukung blt bbm
1,manfaat penggunaan blt bbm bijak papua barat mendukung blt bbm
1,manfaat penggunaan blt bbm bijak papua barat mendukung blt bbm
1,manfaat penggunaan blt bbm bijak papua barat mendukung blt bbm
1,manfaat penggunaan blt bbm bijak papua barat mendukung blt bbm
1,dukung pemerintah menyalurkan blt tukang becak ojol
0,manfaatkan penggunaan blt bbm apel pagi
0,keputusan jokowi bagikan blt bbm
1,ayo bijak manfaatkan blt bbm apel pagi
1,dukung pemerintah menyalurkan blt tukang becak ojol
1,subsidi blt bbm membantu
1,dukung pemerintah menyalurkan blt tukang becak ojol
0,blt bbm lindungi rakyat gejolak harga global
1,dukung penyaluran blt bbm masyarakat
1,dukung penyaluran blt bbm masyarakat
1,bijak konsumsi blt bbm
0,masyarakat apresiasi blt bbm pemerintah
0,keputusan jokowi bagikan blt bbm
1,dukung pemerintah menyalurkan blt tukang becak ojol
0,blt bbm dongkrak daya beli masyarakat
1,ayo manfaatkan blt bbm positif
1,blt membantu masyarakat jawa timur
0,blt bbm dongkrak daya beli masyarakat
1,cok masyarakat jawa timur mendukung blt bbm sasaran
1,pemerintah berhasil salurkan blt bbm merata jawa timur dirasakan dampa
1,bantuan blt membantu masyarakat nusa tenggara timur
1,pemerintah berhasil salurkan blt bbm merata jawa timur
1,manfaatkan penggunaan blt bbm bijak sulawesi barat
1,blt bbm dukung pertumbuhan ekonomi jawa timur
1,bijak blt bbm
1,ayo bijak manfaatkan blt bbm sumatera utara
1,manfaatkan penggunaan blt bbm bijak
1,info warga nusa tenggara barat berterima kasih terbantu blt bbm
1,info warga nusa tenggara barat berterima kasih terbantu blt bbm
1,info warga nusa tenggara barat berterima kasih terbantu blt bbm
1,info warga nusa tenggara barat berterima kasih terbantu blt bbm
1,info warga nusa tenggara barat berterima kasih terbantu blt bbm
0,ardi warga jawa timur terbantu blt
1,info blt sasaran masyarakat nusa tenggara barat menikmati manfaatnya
1,info blt sasaran masyarakat nusa tenggara barat menikmati manfaatnya
1,info blt sasaran masyarakat nusa tenggara barat menikmati manfaatnya
1,presiden ri modal modal kerja blt bbm sumatera utara
1,info blt sasaran masyarakat nusa tenggara barat menikmati manfaatnya
1,info blt sasaran masyarakat nusa tenggara barat menikmati manfaatnya
1,blt bbm dukung pertumbuhan ekonomi jawa timur
1,info masyarakat nusa tenggara barat mendukung blt bbm efektif bantu masyarakat
0,mantap nominal blt bbm ditambah presiden joko widodo sumatera utara
1,info masyarakat nusa tenggara barat mendukung blt bbm efektif bantu masyarakat
1,info masyarakat nusa tenggara barat mendukung blt bbm efektif bantu masyarakat
1,info masyarakat nusa tenggara barat mendukung blt bbm efektif bantu masyarakat
1,cok terimakasih jokowi bantuan jawa timur blt bukti kehadiran pemerintah teng
1,menerima blt
0,pemerintah behasil salurkan blt bbm merata wilayah sumatera utara
1,ardi pemerintah berhasil salurkan blt bbm merata jawa timur
1,masyarakat jawa timur berterima kasih presiden jokowi penyaluran blt bbm
1,pemerintah menyalurkan blt bbm cepat sasaran
-1,blt bbm bsu masyarakat meringakan beban masyarakat
0,blt bbm mendongkrak daya beli masyarakat
0,warga jawa timur terbantu blt
1,pemerintah blt bbm masyarakat cepat mudah sasaran
1,pengalihan subsidi bbm blt bbm lindungi masyarakat gejolak harga global sumatera utara
1,ayo bijak manfaatkan blt bbm pemerintah
1,masyarakat jawa timur menerima blt bbm
0,ardi warga jawa timur terbantu blt
1,penerima blt gunakanlah blt bermanfaat sumatera utara
1,jokowi langsung membagibagikan penerima blt upah daerah
-1,blt bbm wujud perhatian pemerintah rakyat sumatera utara
0,woow nomonial blt ditambah gaes
1,manfaatkangunakan blt pemerintah bermanfaat sumatera utara
0,blt bbm dongkrak daya beli masyarakat
1,terimakasih jokowi bantuan jawa timur blt bukti kehadiran pe
-1,masyarakat rentan terbantu blt bbm
0,penyaluran blt bbm dinilai sasaran
1,blt bbm meringankan ekonmi masyarakat
0,cok masyarakat jawa timur dukung percepatan pembagian blt
0,blt bbm disalurkan progres persen sumatera utara
1,presiden menjamin blt bbm sasaran sumatera utara
0,warga jawa timur terbantu blt
1,manfaatkan penggunaan blt bbm bijak
0,terimakasih presiden jokowi percepat distribusi blt bbm sumatera utara
1,pemerintah jg bansos blt subsidi upah mengatasi dampak kenaikan bbm
1,ayo bijak memanfaatkan blt bbm
0,miliar blt dibagikan masyarakat
0,jokowi memantau langsung pemberian blt bbm
0,gagasan bsu blt kebijakan pemerintah selamatkan masyarakat sumatera utara
1,blt bbm disalurkan cepat
-1,masyarakat rentan terbantu blt bbm
0,pemerintah pastikan blt sasaran rakyat jawa timur merasakannya
0,blt bbm sasaran sulawesi selat
0,blt bbm menjaga daya tahan beli masyarakat
0,blt bbm langkah subusidi
1,jokowi menambah nominal blt bbm
0,mantaap nomininal blt bbm ditambah
1,terimakasih jokowi bantuan jawa timur blt bukti kehadiran
0,masyarakat sumatera utara alhamdulillah blt bbm cair november
0,masyarakat sumatera utara alhamdulillah blt bbm cair november
0,blt bbm mendongkrak daya beli masyarakat
0,pembagian blt bbm bsu cepat sasaran
0,manfaatkan blt bbm sebijak
1,terimakasih jokowi bantuan jawa timur blt bukti kehadiran pem
0,pemerintah memasktikan distribusi blt bbm terlewat
0,jokowi mempercepat distribusi blt bbm
1,pemerintah menyalurkan blt bbm masif cepat aman
0,woow nomonial blt ditambah gaes
1,pemerintah menyalurkan blt bbm masif cepat aman
1,blt bbm positif
-1,masyarakat rentan terbantu blt bbm
1,pemerintah menyalurkan blt bbm masif cepat aman
0,penyaluran blt bbm dinilai sasaran
0,pemerintah pastikan blt sasaran rakyat jawa timur merasakannya
1,blt bbm meringankan ekonmi masyarakat
1,pemerintah menyalurkan blt bbm masif cepat aman
1,blt bbm efektif bantu masyarakat
0,miliar blt dibagikan masyarakat
1,pemerintah menyalurkan blt bbm masif cepat aman
1,pemerintah menyalurkan blt bbm cepat sasaran
1,pemerintah menyalurkan blt bbm cepat sasaran
1,pemerintah menyalurkan blt bbm cepat sasaran
1,pemerintah menyalurkan blt bbm cepat sasaran
1,pemerintah menyalurkan blt bbm cepat sasaran
1,pemerintah menyalurkan blt bbm cepat sasaran
0,jokowi memantau langsung pemberian blt bbm
1,pemerintah menyalurkan blt bbm masif cepat aman
0,blt bbm solusi
1,blt bbm disalurkan cepat
-1,masyarakat rentan terbantu blt bbm
-1,blt bbm bsu masyarakat meringakan beban masyarakat
-1,blt bbm bsu masyarakat meringakan beban masyarakat
