date,username,tweet,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,final_tweet,sentiment
2022-10-24 14:00:34+00:00,d_onenews_com,dicerot penerima blt bbm warga dawuhan wetan gruduk kantor balaidesa,"['dicerot', 'penerima', 'blt', 'bbm', 'warga', 'dawuhan', 'wetan', 'gruduk', 'kantor', 'balaidesa']",<FreqDist with 10 samples and 10 outcomes>,"['dicerot', 'penerima', 'blt', 'bbm', 'warga', 'dawuhan', 'wetan', 'gruduk', 'kantor', 'balaidesa']",dicerot penerima blt bbm warga dawuhan wetan gruduk kantor balaidesa,1.0
2022-10-24 13:59:18+00:00,Anaksemut4,terima kasih program blt atau blsm pemerintahan anda sangat memban,"['terima', 'kasih', 'program', 'blt', 'atau', 'blsm', 'pemerintahan', 'anda', 'sangat', 'memban']",<FreqDist with 10 samples and 10 outcomes>,"['terima', 'kasih', 'program', 'blt', 'blsm', 'pemerintahan', 'memban']",terima kasih program blt blsm pemerintahan memban,1.0
2022-10-24 13:56:13+00:00,alex_hunter146,kinasih kenapa para kadrun yang lebih banyak menikmati bantuan sosial seperti blt bpum dll dari pe,"['kinasih', 'kenapa', 'para', 'kadrun', 'yang', 'lebih', 'banyak', 'menikmati', 'bantuan', 'sosial', 'seperti', 'blt', 'bpum', 'dll', 'dari', 'pe']",<FreqDist with 16 samples and 16 outcomes>,"['kinasih', 'kadrun', 'menikmati', 'bantuan', 'sosial', 'blt', 'bpum', 'dll', 'pe']",kinasih kadrun menikmati bantuan sosial blt bpum dll pe,1.0
2022-10-24 13:56:11+00:00,DartieDartie1,karan nat dirimi cuma sekelas kesetnya jokowi loe kere kronis jokowi lebih pintar dn lebih kaya dr loe el,"['karan', 'nat', 'dirimi', 'cuma', 'sekelas', 'kesetnya', 'jokowi', 'loe', 'kere', 'kronis', 'jokowi', 'lebih', 'pintar', 'dn', 'lebih', 'kaya', 'dr', 'loe', 'el']",<FreqDist with 16 samples and 19 outcomes>,"['karan', 'nat', 'dirimi', 'sekelas', 'kesetnya', 'jokowi', 'loe', 'kere', 'kronis', 'jokowi', 'pintar', 'dn', 'kaya', 'dr', 'loe', 'el']",karan nat dirimi sekelas kesetnya jokowi loe kere kronis jokowi pintar dn kaya dr loe el,1.0
2022-10-24 13:51:46+00:00,intelcore1608,dia belum dapat blt atau pkh,"['dia', 'belum', 'dapat', 'blt', 'atau', 'pkh']",<FreqDist with 6 samples and 6 outcomes>,"['blt', 'pkh']",blt pkh,0.0
2022-10-24 13:47:17+00:00,Lela55546705,blt sangat membantu masyarakat,"['blt', 'sangat', 'membantu', 'masyarakat']",<FreqDist with 4 samples and 4 outcomes>,"['blt', 'membantu', 'masyarakat']",blt membantu masyarakat,1.0
2022-10-24 13:44:05+00:00,Liukiuaquose44,blt harus tepat sasaran ke rakyat,"['blt', 'harus', 'tepat', 'sasaran', 'ke', 'rakyat']",<FreqDist with 6 samples and 6 outcomes>,"['blt', 'sasaran', 'rakyat']",blt sasaran rakyat,1.0
2022-10-24 13:37:36+00:00,jawapos,ribuan pengemudi di surabaya dapat blt bbm dari pemkot,"['ribuan', 'pengemudi', 'di', 'surabaya', 'dapat', 'blt', 'bbm', 'dari', 'pemkot']",<FreqDist with 9 samples and 9 outcomes>,"['ribuan', 'pengemudi', 'surabaya', 'blt', 'bbm', 'pemkot']",ribuan pengemudi surabaya blt bbm pemkot,0.0
2022-10-24 13:35:37+00:00,JeeCo9,sesekali mainlah kepelosok yang banyak orang tidak kaya raya seperti anda lihatlah antrian blt dan,"['sesekali', 'mainlah', 'kepelosok', 'yang', 'banyak', 'orang', 'tidak', 'kaya', 'raya', 'seperti', 'anda', 'lihatlah', 'antrian', 'blt', 'dan']",<FreqDist with 15 samples and 15 outcomes>,"['mainlah', 'kepelosok', 'orang', 'kaya', 'raya', 'lihatlah', 'antrian', 'blt']",mainlah kepelosok orang kaya raya lihatlah antrian blt,1.0
2022-10-24 13:35:04+00:00,KonstPirs,kpm bengkulu sudah merasakan manfaat blt bbm,"['kpm', 'bengkulu', 'sudah', 'merasakan', 'manfaat', 'blt', 'bbm']",<FreqDist with 7 samples and 7 outcomes>,"['kpm', 'bengkulu', 'merasakan', 'manfaat', 'blt', 'bbm']",kpm bengkulu merasakan manfaat blt bbm,1.0
2022-10-24 13:32:36+00:00,SitiSusan6,bansos untuk menjaga daya beli masyarakat jambi dukung blt bbm tepat sasaran,"['bansos', 'untuk', 'menjaga', 'daya', 'beli', 'masyarakat', 'jambi', 'dukung', 'blt', 'bbm', 'tepat', 'sasaran']",<FreqDist with 12 samples and 12 outcomes>,"['bansos', 'menjaga', 'daya', 'beli', 'masyarakat', 'jambi', 'dukung', 'blt', 'bbm', 'sasaran']",bansos menjaga daya beli masyarakat jambi dukung blt bbm sasaran,1.0
2022-10-24 13:32:29+00:00,SitiSusan6,pembagian blt bbm dan bsu harus mudah cepat dan tepat sasaran jambi dukung blt bbm tepat sasaran,"['pembagian', 'blt', 'bbm', 'dan', 'bsu', 'harus', 'mudah', 'cepat', 'dan', 'tepat', 'sasaran', 'jambi', 'dukung', 'blt', 'bbm', 'tepat', 'sasaran']",<FreqDist with 12 samples and 17 outcomes>,"['pembagian', 'blt', 'bbm', 'bsu', 'mudah', 'cepat', 'sasaran', 'jambi', 'dukung', 'blt', 'bbm', 'sasaran']",pembagian blt bbm bsu mudah cepat sasaran jambi dukung blt bbm sasaran,1.0
2022-10-24 13:32:19+00:00,SitiSusan6,ayo bijak manfaatkan blt bbm jambi dukung blt bbm tepat sasaran,"['ayo', 'bijak', 'manfaatkan', 'blt', 'bbm', 'jambi', 'dukung', 'blt', 'bbm', 'tepat', 'sasaran']",<FreqDist with 9 samples and 11 outcomes>,"['ayo', 'bijak', 'manfaatkan', 'blt', 'bbm', 'jambi', 'dukung', 'blt', 'bbm', 'sasaran']",ayo bijak manfaatkan blt bbm jambi dukung blt bbm sasaran,1.0
2022-10-24 13:32:09+00:00,SitiSusan6,blt bbm dongkrak daya beli masyarakat jambi dukung blt bbm tepat sasaran,"['blt', 'bbm', 'dongkrak', 'daya', 'beli', 'masyarakat', 'jambi', 'dukung', 'blt', 'bbm', 'tepat', 'sasaran']",<FreqDist with 10 samples and 12 outcomes>,"['blt', 'bbm', 'dongkrak', 'daya', 'beli', 'masyarakat', 'jambi', 'dukung', 'blt', 'bbm', 'sasaran']",blt bbm dongkrak daya beli masyarakat jambi dukung blt bbm sasaran,1.0
2022-10-24 13:31:46+00:00,SitiSusan6,pemerintah terus berupaya untuk memberikan perlindungan terbaik kepada masyarakat jambi dukung blt bbm tepat sasa,"['pemerintah', 'terus', 'berupaya', 'untuk', 'memberikan', 'perlindungan', 'terbaik', 'kepada', 'masyarakat', 'jambi', 'dukung', 'blt', 'bbm', 'tepat', 'sasa']",<FreqDist with 15 samples and 15 outcomes>,"['pemerintah', 'berupaya', 'perlindungan', 'terbaik', 'masyarakat', 'jambi', 'dukung', 'blt', 'bbm', 'sasa']",pemerintah berupaya perlindungan terbaik masyarakat jambi dukung blt bbm sasa,1.0
2022-10-24 13:31:34+00:00,SitiSusan6,pentingnya ekosistem pendataan perlindungan sosial yang terintegrasi jambi dukung blt bbm tepat sasaran,"['pentingnya', 'ekosistem', 'pendataan', 'perlindungan', 'sosial', 'yang', 'terintegrasi', 'jambi', 'dukung', 'blt', 'bbm', 'tepat', 'sasaran']",<FreqDist with 13 samples and 13 outcomes>,"['ekosistem', 'pendataan', 'perlindungan', 'sosial', 'terintegrasi', 'jambi', 'dukung', 'blt', 'bbm', 'sasaran']",ekosistem pendataan perlindungan sosial terintegrasi jambi dukung blt bbm sasaran,1.0
2022-10-24 13:31:16+00:00,SitiSusan6,pemerintah terus berupaya untuk memberikan perlindungan terbaik kepada masyarakat jambi dukung blt bbm tepat sasa,"['pemerintah', 'terus', 'berupaya', 'untuk', 'memberikan', 'perlindungan', 'terbaik', 'kepada', 'masyarakat', 'jambi', 'dukung', 'blt', 'bbm', 'tepat', 'sasa']",<FreqDist with 15 samples and 15 outcomes>,"['pemerintah', 'berupaya', 'perlindungan', 'terbaik', 'masyarakat', 'jambi', 'dukung', 'blt', 'bbm', 'sasa']",pemerintah berupaya perlindungan terbaik masyarakat jambi dukung blt bbm sasa,1.0
2022-10-24 13:30:46+00:00,dikareza6,blt bbm cegah ancaman inflasi,"['blt', 'bbm', 'cegah', 'ancaman', 'inflasi']",<FreqDist with 5 samples and 5 outcomes>,"['blt', 'bbm', 'cegah', 'ancaman', 'inflasi']",blt bbm cegah ancaman inflasi,-1.0
2022-10-24 13:30:28+00:00,dikareza6,blt bbm cegah ancaman inflasi,"['blt', 'bbm', 'cegah', 'ancaman', 'inflasi']",<FreqDist with 5 samples and 5 outcomes>,"['blt', 'bbm', 'cegah', 'ancaman', 'inflasi']",blt bbm cegah ancaman inflasi,-1.0
2022-10-24 13:30:20+00:00,dikareza6,blt bbm cegah ancaman inflasi,"['blt', 'bbm', 'cegah', 'ancaman', 'inflasi']",<FreqDist with 5 samples and 5 outcomes>,"['blt', 'bbm', 'cegah', 'ancaman', 'inflasi']",blt bbm cegah ancaman inflasi,-1.0
2022-10-24 13:30:07+00:00,dikareza6,blt bbm cegah ancaman inflasi,"['blt', 'bbm', 'cegah', 'ancaman', 'inflasi']",<FreqDist with 5 samples and 5 outcomes>,"['blt', 'bbm', 'cegah', 'ancaman', 'inflasi']",blt bbm cegah ancaman inflasi,-1.0
2022-10-24 13:23:23+00:00,ada_pohan,lha yg maruk blt kelian orang koq,"['lha', 'yg', 'maruk', 'blt', 'kelian', 'orang', 'koq']",<FreqDist with 7 samples and 7 outcomes>,"['lha', 'maruk', 'blt', 'kelian', 'orang']",lha maruk blt kelian orang,0.0
2022-10-24 13:21:15+00:00,Dhar3M,ini blt saya,"['ini', 'blt', 'saya']",<FreqDist with 3 samples and 3 outcomes>,['blt'],blt,0.0
2022-10-24 13:15:03+00:00,PRDepok,cek penerima bsu tahap yang cair lewat kantor pos login ke link ini dan cairkan blt subsidi gaji,"['cek', 'penerima', 'bsu', 'tahap', 'yang', 'cair', 'lewat', 'kantor', 'pos', 'login', 'ke', 'link', 'ini', 'dan', 'cairkan', 'blt', 'subsidi', 'gaji']",<FreqDist with 18 samples and 18 outcomes>,"['cek', 'penerima', 'bsu', 'tahap', 'cair', 'kantor', 'pos', 'login', 'link', 'cairkan', 'blt', 'subsidi', 'gaji']",cek penerima bsu tahap cair kantor pos login link cairkan blt subsidi gaji,1.0
2022-10-24 13:15:03+00:00,kompascom,puluhan warga desa dawuhan wetan lumajang protes karena dianulir sebagai penerima blt bbm dalam verifikasi oleh,"['puluhan', 'warga', 'desa', 'dawuhan', 'wetan', 'lumajang', 'protes', 'karena', 'dianulir', 'sebagai', 'penerima', 'blt', 'bbm', 'dalam', 'verifikasi', 'oleh']",<FreqDist with 16 samples and 16 outcomes>,"['puluhan', 'warga', 'desa', 'dawuhan', 'wetan', 'lumajang', 'protes', 'dianulir', 'penerima', 'blt', 'bbm', 'verifikasi']",puluhan warga desa dawuhan wetan lumajang protes dianulir penerima blt bbm verifikasi,0.0
2022-10-24 13:14:12+00:00,impossible038,blt belom turun,"['blt', 'belom', 'turun']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'belom', 'turun']",blt belom turun,0.0
2022-10-24 13:09:02+00:00,jodskiiy,nyiar blt,"['nyiar', 'blt']",<FreqDist with 2 samples and 2 outcomes>,"['nyiar', 'blt']",nyiar blt,0.0
2022-10-24 12:57:25+00:00,DaengKayo89,kebohongan menteri dari profesional tidak ngutang tidak ada blt tdk ada copras capres,"['kebohongan', 'menteri', 'dari', 'profesional', 'tidak', 'ngutang', 'tidak', 'ada', 'blt', 'tdk', 'ada', 'copras', 'capres']",<FreqDist with 11 samples and 13 outcomes>,"['kebohongan', 'menteri', 'profesional', 'ngutang', 'blt', 'copras', 'capres']",kebohongan menteri profesional ngutang blt copras capres,-1.0
2022-10-24 12:51:08+00:00,d_onenews_com,realisasikan blt bbm pemkot gelontorkan untuk pengemudiangkot,"['realisasikan', 'blt', 'bbm', 'pemkot', 'gelontorkan', 'untuk', 'pengemudiangkot']",<FreqDist with 7 samples and 7 outcomes>,"['realisasikan', 'blt', 'bbm', 'pemkot', 'gelontorkan', 'pengemudiangkot']",realisasikan blt bbm pemkot gelontorkan pengemudiangkot,0.0
2022-10-24 12:50:05+00:00,Whizkaz_22,langkah pemerintah sangat tepat dg memberikan blt dan bsu,"['langkah', 'pemerintah', 'sangat', 'tepat', 'dg', 'memberikan', 'blt', 'dan', 'bsu']",<FreqDist with 9 samples and 9 outcomes>,"['langkah', 'pemerintah', 'blt', 'bsu']",langkah pemerintah blt bsu,1.0
2022-10-24 12:47:06+00:00,Quvvatt,id dumdum junjungan lu yang gak jelas soal blt,"['id', 'dumdum', 'junjungan', 'lu', 'yang', 'gak', 'jelas', 'soal', 'blt']",<FreqDist with 9 samples and 9 outcomes>,"['id', 'dumdum', 'junjungan', 'lu', 'blt']",id dumdum junjungan lu blt,1.0
2022-10-24 12:44:06+00:00,loksado_river,jatim padahal pak jokowi rajin blusukan bagi duit blt ternyata ga nyampe pd yg bener susah,"['jatim', 'padahal', 'pak', 'jokowi', 'rajin', 'blusukan', 'bagi', 'duit', 'blt', 'ternyata', 'ga', 'nyampe', 'pd', 'yg', 'bener', 'susah']",<FreqDist with 16 samples and 16 outcomes>,"['jatim', 'jokowi', 'rajin', 'blusukan', 'duit', 'blt', 'nyampe', 'pd', 'bener', 'susah']",jatim jokowi rajin blusukan duit blt nyampe pd bener susah,0.0
2022-10-24 12:42:53+00:00,baliexpressnews,mengapresiasi penyaluran blt bbm tahap ii,"['mengapresiasi', 'penyaluran', 'blt', 'bbm', 'tahap', 'ii']",<FreqDist with 6 samples and 6 outcomes>,"['mengapresiasi', 'penyaluran', 'blt', 'bbm', 'tahap', 'ii']",mengapresiasi penyaluran blt bbm tahap ii,0.0
2022-10-24 12:36:37+00:00,PRDepok,bpum jadi cair cek namamu di untuk dapatkan blt umkm rp,"['bpum', 'jadi', 'cair', 'cek', 'namamu', 'di', 'untuk', 'dapatkan', 'blt', 'umkm', 'rp']",<FreqDist with 11 samples and 11 outcomes>,"['bpum', 'cair', 'cek', 'namamu', 'dapatkan', 'blt', 'umkm', 'rp']",bpum cair cek namamu dapatkan blt umkm rp,0.0
2022-10-24 12:36:36+00:00,pikiran_rakyat,bpum jadi cair cek namamu di untuk dapatkan blt umkm rp,"['bpum', 'jadi', 'cair', 'cek', 'namamu', 'di', 'untuk', 'dapatkan', 'blt', 'umkm', 'rp']",<FreqDist with 11 samples and 11 outcomes>,"['bpum', 'cair', 'cek', 'namamu', 'dapatkan', 'blt', 'umkm', 'rp']",bpum cair cek namamu dapatkan blt umkm rp,0.0
2022-10-24 12:35:47+00:00,Dadungkawuk41,id dumdum negara berkewajiban melayani saat melayani di,"['id', 'dumdum', 'negara', 'berkewajiban', 'melayani', 'saat', 'melayani', 'di']",<FreqDist with 7 samples and 8 outcomes>,"['id', 'dumdum', 'negara', 'berkewajiban', 'melayani', 'melayani']",id dumdum negara berkewajiban melayani melayani,0.0
2022-10-24 12:32:22+00:00,Wahyu_Di_nn13,robin dasar nunafik klau udah iri dengk,"['robin', 'dasar', 'nunafik', 'klau', 'udah', 'iri', 'dengk']",<FreqDist with 7 samples and 7 outcomes>,"['robin', 'dasar', 'nunafik', 'klau', 'udah', 'iri', 'dengk']",robin dasar nunafik klau udah iri dengk,1.0
2022-10-24 12:22:58+00:00,YN76233161,naaaah kan kebukti pastinya rakyat dibuat lebih tertekan dengan berbagai kenaikan nanti yang jadi pahlaw,"['naaaah', 'kan', 'kebukti', 'pastinya', 'rakyat', 'dibuat', 'lebih', 'tertekan', 'dengan', 'berbagai', 'kenaikan', 'nanti', 'yang', 'jadi', 'pahlaw']",<FreqDist with 15 samples and 15 outcomes>,"['naaaah', 'kebukti', 'pastinya', 'rakyat', 'tertekan', 'kenaikan', 'pahlaw']",naaaah kebukti pastinya rakyat tertekan kenaikan pahlaw,0.0
2022-10-24 12:08:05+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:07:53+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:07:35+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:07:22+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:07:05+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:06:53+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:06:31+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:06:19+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:05:55+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:05:43+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:05:25+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:05:13+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:04:53+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:04:41+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:04:21+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:04:09+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:03:47+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:03:34+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:03:11+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 12:02:54+00:00,futudre,blt sangat membantu,"['blt', 'sangat', 'membantu']",<FreqDist with 3 samples and 3 outcomes>,"['blt', 'membantu']",blt membantu,1.0
2022-10-24 11:59:43+00:00,gertakgertuk,penyaluran bansos dan blt beri dampak positif,"['penyaluran', 'bansos', 'dan', 'blt', 'beri', 'dampak', 'positif']",<FreqDist with 7 samples and 7 outcomes>,"['penyaluran', 'bansos', 'blt', 'dampak', 'positif']",penyaluran bansos blt dampak positif,1.0
2022-10-24 11:58:17+00:00,JeniUtami,pemberian blt oleh pemerintah yg berdampak thdp perputaran roda perekonomian,"['pemberian', 'blt', 'oleh', 'pemerintah', 'yg', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",<FreqDist with 10 samples and 10 outcomes>,"['pemberian', 'blt', 'pemerintah', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",pemberian blt pemerintah berdampak thdp perputaran roda perekonomian,0.0
2022-10-24 11:54:45+00:00,manuelhandi,pemberian blt oleh pemerintah yg berdampak thdp perputaran roda perekonomian,"['pemberian', 'blt', 'oleh', 'pemerintah', 'yg', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",<FreqDist with 10 samples and 10 outcomes>,"['pemberian', 'blt', 'pemerintah', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",pemberian blt pemerintah berdampak thdp perputaran roda perekonomian,0.0
2022-10-24 11:54:12+00:00,klikwarta_com,mengapresiasi penyaluran blt bbm tahap ii,"['mengapresiasi', 'penyaluran', 'blt', 'bbm', 'tahap', 'ii']",<FreqDist with 6 samples and 6 outcomes>,"['mengapresiasi', 'penyaluran', 'blt', 'bbm', 'tahap', 'ii']",mengapresiasi penyaluran blt bbm tahap ii,0.0
2022-10-24 11:53:57+00:00,manuelhandi,pemberian blt oleh pemerintah yg berdampak thdp perputaran roda perekonomian,"['pemberian', 'blt', 'oleh', 'pemerintah', 'yg', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",<FreqDist with 10 samples and 10 outcomes>,"['pemberian', 'blt', 'pemerintah', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",pemberian blt pemerintah berdampak thdp perputaran roda perekonomian,0.0
2022-10-24 11:51:47+00:00,KIKI16756814,cuman di sodorka bojonegoro blora tak pernah dpt penghargaan dari semua meteri negara ri yah adany,"['cuman', 'di', 'sodorka', 'bojonegoro', 'blora', 'tak', 'pernah', 'dpt', 'penghargaan', 'dari', 'semua', 'meteri', 'negara', 'ri', 'yah', 'adany']",<FreqDist with 16 samples and 16 outcomes>,"['cuman', 'sodorka', 'bojonegoro', 'blora', 'dpt', 'penghargaan', 'meteri', 'negara', 'ri', 'adany']",cuman sodorka bojonegoro blora dpt penghargaan meteri negara ri adany,1.0
2022-10-24 11:51:29+00:00,manuelhandi,pemberian blt oleh pemerintah yg berdampak thdp perputaran roda perekonomian,"['pemberian', 'blt', 'oleh', 'pemerintah', 'yg', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",<FreqDist with 10 samples and 10 outcomes>,"['pemberian', 'blt', 'pemerintah', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",pemberian blt pemerintah berdampak thdp perputaran roda perekonomian,0.0
2022-10-24 11:48:57+00:00,Presiden_bcd,pemberian blt oleh pemerintah yg berdampak thdp perputaran roda perekonomian,"['pemberian', 'blt', 'oleh', 'pemerintah', 'yg', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",<FreqDist with 10 samples and 10 outcomes>,"['pemberian', 'blt', 'pemerintah', 'berdampak', 'thdp', 'perputaran', 'roda', 'perekonomian']",pemberian blt pemerintah berdampak thdp perputaran roda perekonomian,0.0
